UBPR3230,UBPRE278,UBPRE279,UBPRE291,UBPR4340,UBPR7402,UBPR7414,UBPRE001,UBPRE002,UBPRE006,UBPRE008,UBPRE014,UBPRE015,UBPRE016,UBPRE017,UBPRE544,UBPRE549,UBPRE600,UBPRK447,UBPRD486,OTSREGNM_Central,OTSREGNM_Northeast,OTSREGNM_Southeast,OTSREGNM_West,OTSREGNM_Western,REGAGNT_FDIC,REGAGNT_FED,REGAGNT_OCC,SPECGRPN_Agricultural.Specialization,SPECGRPN_All.Other.Over.1.Billion,SPECGRPN_All.Other.Under.1.Billion,SPECGRPN_Commercial.Lending.Specialization,SPECGRPN_Consumer.Lending.Specialization,SPECGRPN_Credit.card.Specialization,SPECGRPN_International.Specialization,SPECGRPN_Mortgage.Lending.Specialization,SPECGRPN_Other.Specialized.Under.1.Billion
1200,0,0,0,665,36.09,0.95,3.77,0.26,0,0.05,99.26,59.02,3.8,0.26,2.91,1.08,26.19,-10.08,21.4857,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
120,0,0,0,578,62.28,0.59,3.67,0.54,0.02,0,98.19,68.07,3.74,0.55,1.59,0.59,58.44,11.72,9.8415,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,1959,0,0.47,3.41,0.61,0.06,-0.01,95.04,71.89,3.58,0.64,0.97,0.47,81.24,19.62,12.3113,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
100,0,0,0,-669,0,0.79,5.17,1.55,0.36,0,97.88,74.27,5.28,1.59,0.77,0.79,134.11,24.71,14.3916,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
60,0,0,0,1271,23.6,0.15,4.83,0.59,0.09,0,98.44,74.36,4.9,0.6,0.43,0.2,117.91,13.78,8.3719,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
6480,10000,10000,10000,6336,18.88,0.22,3.36,0.26,0.05,-0.15,96.84,70.63,3.47,0.27,0.15,0.22,94.13,1.55,8.6575,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
1600,1939,1939,1939,7082,31.06,0.12,3.94,0.19,0.2,0,92.3,71.48,4.27,0.21,0.08,0.15,80.56,-3.96,9.4687,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
240,0,0,0,2582,56.82,1.13,4.13,0.8,0.16,0,95.58,69.45,4.32,0.84,1.26,1.25,60.4,3.55,15.2321,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1000,210,210,210,13489,22.24,0.02,2.71,0.16,0.07,0,97.74,57.5,2.78,0.16,0.08,0.02,46.15,1.74,11.3303,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
800,0,0,0,4293,81.53,0.15,3.57,0.42,0.2,0.01,95.19,61.82,3.75,0.44,1.16,0.15,77.51,6.23,12.8722,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
500,0,0,0,451,282.71,0,3.95,0.74,0,0,85.18,73.09,4.64,0.87,4.81,4.2,65.42,-10.4,14.1843,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
